WDT,20080731000002.32,S
WDT,20080731000003.45,P
WDT,20080731000004.09,S
WDT,20080731080001.0,S
WDT,20080731080001.0,S
WDT,20080731080001.0,P
WDT,20080801080001.0,S
WDT,20080801080001.0,S
WDT,20080801080001.0,P
WDT,20080802080001.0,S
WDT,20080802080001.0,S
WDT,20080802080001.0,P
WDT,20080803080001.0,S
WDT,20080803080001.0,S
WDT,20080803080001.0,P
WDT,20080804080001.0,S
WDT,20080804080001.0,S
WDT,20080804080001.0,P
WDT,20080805080001.0,S
WDT,20080805080001.0,S
WDT,20080805080001.0,P
WDT,20080806080001.0,S
WDT,20080806080001.0,S
WDT,20080806080001.0,P
WDT,20080807080001.0,S
WDT,20080807080001.0,S
WDT,20080807080001.0,P
WDT,20080808080001.0,S
WDT,20080808080001.0,S
WDT,20080808080001.0,P
WDT,20080810080001.0,S
WDT,20080810080001.0,S
WDT,20080810080001.0,P
WDT,20080811080001.0,S
WDT,20080811080001.0,S
WDT,20080811080001.0,P
WDT,20080812080001.0,S
WDT,20080812090047.098,S
WDT,20080812090241.42,S
WDT,20080812090304.406,S
WDT,20080812090308.332,S
WDT,20080812090312.22,S
WDT,20080812090316.03,S
WDT,20080812090320.22,S
WDT,20080812092713.01,S
WDT,20080812080001.0,S
WDT,20080812090051.8,S
WDT,20080812090241.39,S
WDT,20080812090304.402,S
WDT,20080812090308.27,S
WDT,20080812090312.066,S
WDT,20080812090424.676,S
WDT,20080812093600.21,S
WDT,20080812080001.0,P
WDT,20080812090046.96,P
WDT,20080812090241.3,P
WDT,20080812090304.43,P
WDT,20080812090308.4,P
WDT,20080812090312.367,P
WDT,20080812090316.22,P
WDT,20080812090320.055,P
WDT,20080812092713.086,P
WDT,20080813080001.0,S
WDT,20080813092359.4,S
WDT,20080813080001.0,S
WDT,20080813093600.043,S
WDT,20080813080001.0,P
WDT,20080813093600.188,P
WDT,20080814080001.0,S
WDT,20080814081643.293,S
WDT,20080814080001.0,S
WDT,20080814092709.62,S
WDT,20080814080001.0,P
WDT,20080814093600.434,P
WDT,20080815080001.0,S
WDT,20080815081725.527,S
WDT,20080815084017.51,S
WDT,20080815084019.17,S
